name,artist,album,genre,total_time,play_count,skip_count
Da Introduction,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,265400,1,1
East 1999,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,261773,7,0
"""Eternal""",Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,243920,10,0
Crept and We Came,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,303813,6,0
Down '71 (The Getaway),Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,290027,7,0
Mr. Bill Collector,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,301453,4,0
Budsmokers Only,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,211600,4,0
Tha Crossroads,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,223547,7,0
Me Killa,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,55840,2,0
Land of Tha Heartless,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,185827,2,1
"No Shorts, No Losses",Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,292147,3,0
1st of Tha Month,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,314680,6,0
Buddah Lovaz,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,283493,3,0
Die Die Die,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,172213,5,1
Mr. Quija 2,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,76680,1,0
Mo'murda,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,344933,9,0
Shotz to Tha Double Glock,Bone Thugs-n-Harmony,E. 1999 Eternal,Rap,282253,4,0
Mo' Thug,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,100213,2,0
Thug Luv (feat. 2pac),Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,307987,4,0
Hatin' Nation,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,312800,2,0
7 Sign (feat. Majesty),Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,288533,1,0
Wasteland Warriors (feat. Souljah Boy),Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,268360,1,0
Neighborhood Slang,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,89373,1,0
U Ain't Bone,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,304733,5,0
Get'cha Thug On,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,242333,3,0
All Original,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,298560,5,0
Blaze It,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,128573,1,1
Let the Law End,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,216493,1,0
Whom Die They Lie,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,264240,3,0
How Many of Us Have Them,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,310493,2,0
Evil Paradise,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,288507,1,1
Mo' Thug Family Tree,Bone Thugs-n-Harmony,The Art of War: World War 2,Rap,340933,1,0
Atras,Violadores del Verso,Atras (Doble V),Urbano latino,368507,13,0
Rap Solo Universidad,Violadores del Verso,Atras (Doble V),Urbano latino,341213,19,0
Nadie Lo Haze (Remix),Violadores del Verso,Atras (Doble V),Urbano latino,306920,17,0
Atrás (Instrumental),Violadores del Verso,Atras (Doble V),Urbano latino,368493,0,1
Rap Solo Universidad (Instrumental),Violadores del Verso,Atras (Doble V),Urbano latino,332667,0,2
Nadie Lo Haze (Remix Instrumental),Violadores del Verso,Atras (Doble V),Urbano latino,307560,1,0
Introducción,Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,51880,2,1
Vicios y Virtudes,Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,334040,14,0
"Marrones, Morenas, Coronas",Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,304453,2,0
Trae Ese Ron,Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,415427,4,0
No Es Ningún Trofeo Noble,Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,358467,11,0
Tú y Tus Historias,Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,125800,1,0
No Pasa Nada,Violadores del Verso featuring Supernafamacho,Vicios y Virtudes,Hip-Hop/Rap,298640,3,1
Modestia Aparte,Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,308320,17,0
Ninguna Chavala Tiene Dueño / Porque Ella Me Lo Dijo,Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,269160,3,0
Cerdo Agridulce,Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,207760,15,0
"Que Te Importan Todos los Demás (Inspiración, Aspiración)",Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,324947,2,0
Suizaragoza,Violadores del Verso featuring Gran Purismo,Vicios y Virtudes,Hip-Hop/Rap,113720,6,0
Capricornio,Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,195413,3,0
Por Honor,Violadores del Verso con Mr. Rango,Vicios y Virtudes,Hip-Hop/Rap,374840,12,1
La Ciudad Nunca Duerme,Violadores del Verso,Vicios y Virtudes,Hip-Hop/Rap,341493,18,0
Bombo Clap (feat. Rebel),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,379867,8,2
Nada Que Hacer,Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,320493,3,0
La Ciudad Nunca Duerme (Remix),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,376627,4,0
Solo Quedar Consuelo (En Directo),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,334493,1,0
Modestia Aparte (En Directo),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,309707,4,0
Un Gran Plan (En Directo),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,282040,5,0
Yo Tengo el Funk (En Directo),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,334067,2,0
No Es Ningún Trofeo Noble (En Directo),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,336453,7,0
Virtuosos (En Directo),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,329253,4,0
Rap Solo Universidad (En Directo),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,343347,3,0
Doble V (En Directo),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,297360,5,0
Máximo Exponente (En Directo),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,244640,2,0
Vicios y Virtudes (En Directo),Violadores del Verso,Tu Eres Alguien / Bombo Clap,Hip-Hop/Rap,367187,1,0
Intro,R de Rumba,R de Rumba,Urbano latino,18991,0,0
Amberes,R de Rumba featuring Lirico & Rebel,R de Rumba,Urbano latino,327100,2,0
Dias de Furia,R de Rumba featuring Toteking,R de Rumba,Urbano latino,262520,3,0
Solo una Excusa,R de Rumba featuring Cloaka Company,R de Rumba,Urbano latino,260997,3,0
No Vayas,R de Rumba featuring Frank-T,R de Rumba,Urbano latino,287134,0,0
Quieres,R de Rumba featuring Kase.O y Kami,R de Rumba,Urbano latino,225773,0,0
